snapshot_rank,product,article_url,capture_date,average_rating,displayed_review_records,five_star_share_pct
1,"Mediheal Madecassoside Blemish Repair Serum",https://seong918.github.io/beauty_blog/posts/mediheal-madecassoside-blemish-repair-serum.html,2026-07-03,4.7,41856,82
2,"Aestura Atobarrier 365 Cream",https://seong918.github.io/beauty_blog/posts/aestura-atobarrier-365-cream.html,2026-07-06,4.9,35090,90
3,"Medicube PDRN Pink Peptide Ampoule",https://seong918.github.io/beauty_blog/posts/medicube-pdrn-pink-peptide-ampoule.html,2026-07-28,4.7,25435,84
4,"La Roche-Posay Cicaplast Baume B5",https://seong918.github.io/beauty_blog/posts/la-roche-posay-cicaplast-baume-b5.html,2026-07-05,4.8,24566,86
5,"Bring Green Zinc Teca Trouble Serum Large Size",https://seong918.github.io/beauty_blog/posts/bring-green-zinc-teca-trouble-serum-large-size.html,2026-07-21,4.7,21810,82
6,"Anua PDRN Hyaluronic Acid Capsule Serum",https://seong918.github.io/beauty_blog/posts/anua-pdrn-hyaluronic-acid-capsule-serum.html,2026-07-02,4.8,19105,84
7,"La Roche-Posay Cicaplast Multi Repair Cream",https://seong918.github.io/beauty_blog/posts/la-roche-posay-cicaplast-multi-repair-cream.html,2026-07-24,4.8,18048,84
8,"Wellage Real Hyaluronic Blue 100 Ampoule",https://seong918.github.io/beauty_blog/posts/wellage-real-hyaluronic-blue-100-ampoule.html,2026-08-04,4.8,17536,89
9,"S.NATURE Aqua Squalane Moisture Cream",https://seong918.github.io/beauty_blog/posts/s-nature-aqua-squalane-moisture-cream.html,2026-07-11,4.8,15832,86
10,"numbuzin No.1 Pantothenic Acid Skincare 100 Blur Powder",https://seong918.github.io/beauty_blog/posts/numbuzin-no-1-pantothenic-acid-skincare-100-blur-powder.html,2026-08-03,4.8,14339,85
11,"디오디너리 Niacinamide 10% 1%",https://seong918.github.io/beauty_blog/posts/niacinamide-10-1.html,2026-07-29,4.7,12387,81
12,"Estrar Atobarrier365 Hydro Soothing Cream",https://seong918.github.io/beauty_blog/posts/estrar-atobarrier365-hydro-soothing-cream.html,2026-07-18,4.8,12246,88
13,"Aestura Atobarrier 365 Hydro Soothing Cream",https://seong918.github.io/beauty_blog/posts/aestura-atobarrier-365-hydro-soothing-cream.html,2026-07-10,4.8,11903,88
14,"Bioderma Hydrabio Essence Lotion",https://seong918.github.io/beauty_blog/posts/bioderma-hydrabio-essence-lotion.html,2026-07-27,4.8,9621,86
15,"Physiogel Daily Mune Ampoule",https://seong918.github.io/beauty_blog/posts/physiogel-daily-mune-ampoule.html,2026-07-20,4.8,9450,87
16,"Estra Atobarrier 365 Cream",https://seong918.github.io/beauty_blog/posts/estra-atobarrier-365-cream.html,2026-07-31,4.8,7040,89
17,"Anua PDRN Hyaluronic Acid Hydra Capsule Mist",https://seong918.github.io/beauty_blog/posts/anua-pdrn-hyaluronic-acid-hydra-capsule-mist.html,2026-06-30,4.6,5711,76
18,"Celladix Trouble Sebum Rebalancing 131 Ampoule",https://seong918.github.io/beauty_blog/posts/celladix-trouble-sebum-rebalancing-131-ampoule.html,2026-07-17,4.7,5047,83
19,"Torriden Dive-In Low Molecular Hyaluronic Acid Serum",https://seong918.github.io/beauty_blog/posts/torriden-dive-in-low-molecular-hyaluronic-acid-serum.html,2026-07-25,4.9,3919,90
20,"Ongredients Bakuglow Capsule Lotion",https://seong918.github.io/beauty_blog/posts/ongredients-bakuglow-capsule-lotion.html,2026-08-02,5.0,2131,99
21,"Celimax The Vita A Retinal Shot Tightening Booster",https://seong918.github.io/beauty_blog/posts/celimax-the-vita-a-retinal-shot-tightening-booster.html,2026-07-15,4.8,2006,86
22,"Dr.G Red Blemish Clear Soothing Cream EX",https://seong918.github.io/beauty_blog/posts/dr-g-red-blemish-clear-soothing-cream-ex.html,2026-07-16,5.0,1946,98
23,"Rejudex Derma Repairing Cream",https://seong918.github.io/beauty_blog/posts/rejudex-derma-repairing-cream.html,2026-07-26,4.9,1534,93
24,"Celimax Tranexamic Acid Dark Spot Cream",https://seong918.github.io/beauty_blog/posts/celimax-tranexamic-acid-dark-spot-cream.html,2026-07-14,4.9,1149,95
25,"Paula's Choice BHA Liquid Exfoliant",https://seong918.github.io/beauty_blog/posts/paula-s-choice-bha-liquid-exfoliant.html,2026-08-01,4.8,832,85
26,"innisfree Retinol Cica Pore Ampoule",https://seong918.github.io/beauty_blog/posts/innisfree-retinol-cica-pore-ampoule.html,2026-07-07,5.0,799,97
27,"Arencia Vitamin C Booster Shot",https://seong918.github.io/beauty_blog/posts/arencia-vitamin-c-booster-shot.html,2026-07-12,4.9,582,95
28,"Medicube Zero Pore One Day Peptide Serum",https://seong918.github.io/beauty_blog/posts/medicube-zero-pore-one-day-peptide-serum.html,2026-07-30,4.8,295,86
29,"Abib Hyaluronic Boom Cream Water Tube",https://seong918.github.io/beauty_blog/posts/abib-hyaluronic-boom-cream-water-tube.html,2026-07-09,5.0,189,99
30,"Abib Hyaluronic Boom Serum Waterdrop",https://seong918.github.io/beauty_blog/posts/abib-hyaluronic-boom-serum-waterdrop.html,2026-07-08,5.0,182,100
31,"Rejudex Derma Repairing Solution Ampoule",https://seong918.github.io/beauty_blog/posts/rejudex-derma-repairing-solution-ampoule.html,2026-07-23,5.0,106,97
32,"Physiogel Red Soothing Rosateca Redness Reducing Serum",https://seong918.github.io/beauty_blog/posts/physiogel-red-soothing-rosateca-redness-reducing-serum.html,2026-07-19,4.9,86,93
33,"Kirin Please Wait a Moment",https://seong918.github.io/beauty_blog/posts/kirin-please-wait-a-moment.html,2026-08-08,4.9,75,93
34,"Rejuvedex Derma Repairing Cream",https://seong918.github.io/beauty_blog/posts/rejuvedex-derma-repairing-cream.html,2026-07-22,5.0,1,100
